year,Transportation,Electricity generation,Industry,Agriculture,Commercial,Residential
1990,1526.622794,1875.705423,1640.708734,600.1792825,429.2010775,345.0707892
1991,1480.489044,1871.728211,1613.561094,590.8481,436.4571979,354.6897497
1992,1540.034504,1886.715101,1649.06042,591.6801343,432.1250033,361.2220248
1993,1577.034801,1962.470913,1620.199787,619.7617534,425.5843602,372.6124988
1994,1631.976758,1987.274097,1645.608862,606.987183,428.8677843,363.2601466
1995,1667.146555,2003.999184,1662.524796,619.2178544,427.9946907,367.5235211
1996,1723.370543,2077.064892,1691.903156,626.1810366,435.6505406,399.4548027
1997,1749.961462,2143.225639,1691.272865,614.7203833,428.1516707,380.8286589
1998,1792.412211,2229.740835,1661.799988,621.8154928,402.9574172,346.8732536
1999,1863.40094,2243.791992,1609.284251,612.7402891,399.4297823,366.6844584
2000,1913.656839,2349.510725,1598.823879,598.0511145,413.738352,387.9925386
2001,1885.55221,2310.008309,1549.211555,618.9274568,402.7437568,378.0768839
2002,1926.090039,2325.860812,1532.114174,621.9064121,404.3104074,375.2866689
2003,1933.433776,2357.17254,1510.796537,622.3574815,420.58694,393.7289434
2004,1965.962902,2390.210228,1559.489117,635.0240128,418.4504266,381.852435
2005,1975.58808,2456.258385,1518.818477,629.7041806,407.94245,371.0155287
2006,1975.916846,2399.583772,1550.157824,628.9421293,394.4928804,334.3094
2007,1974.403171,2466.264685,1541.17254,646.136322,408.4803503,355.2548552
2008,1870.832363,2412.460981,1481.465809,634.2710312,415.7989006,363.9069817
2009,1796.198799,2196.270145,1326.811606,636.1835704,419.562518,354.5451475
2010,1802.154809,2311.928875,1418.136083,644.5189225,422.0622981,355.5397282
2011,1769.063259,2209.297928,1421.767309,625.8676715,417.8506792,349.0894974
2012,1749.424799,2071.205645,1415.442997,609.5147476,398.9089069,306.9389588
2013,1751.910826,2089.977324,1466.49365,647.8662222,422.2573981,357.7358649
2014,1785.920221,2090.124498,1450.982944,657.5386254,432.6218565,378.2979796
2015,1794.054456,1950.021956,1441.612574,658.4755553,445.4113754,351.5027815
2016,1829.968791,1857.612566,1402.224053,645.7793727,430.1326151,327.8409613
2017,1847.329197,1778.851683,1423.414702,646.5564845,431.8766826,329.9088698
2018,1878.199037,1798.044517,1483.289677,661.9705661,447.3373934,377.2510348
2019,1875.730588,1648.11147,1504.831223,669.4596938,455.3399301,379.5137296
